N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN.;0;3;1;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICO;0;2;1;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null
6;;I;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null
7;;I;TALLER DE ARTE Y CREATIVIDAD;0;2;1;2;4;3;Null
8;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null
9;;II;SOCIOLOGÍA DE LA EDUCACIÓN;0;3;1;2;5;4;Null
10;;II;ANÁLISIS DE LA PROBLEMÁTICA EN EDUCACIÓN INICIAL;0;4;1;2;6;5;Null
11;;II;IDENTIDAD Y DIVERSIDAD CULTURAL/EQUIDAD DE GÉNERO;0;3;1;2;5;4;Null
12;;II;DESARROLLO EVOLUTIVO INFANTIL;0;2;1;2;4;3;Null
13;;II;ESTADISTICA;0;4;1;2;6;5;Null
14;;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null
15;;III;EPISTEMOLOGÍA;0;2;1;2;4;3;Null
16;;III;HABILIDADES MUSICALES INSTRUMENTOS DE CUERDA /HABILIDADES MUSICALES INSTRUMENTOS DE PERCUSIÓN;0;4;1;2;6;5;Null
17;;III;NEUROPEDAGOGÍA INFANTIL;0;4;1;2;6;5;Null
18;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null
19;;III;FUNDAMENTOS DE LA EDUCACIÓN INFANTIL;0;4;1;2;6;5;Null
20;;IV;TALLER DE HABILIDADES CORPORALES;0;3;1;2;5;4;Null
21;;IV;ESTRATEGIAS PARA LA EDUCACIÓN BILINGÜE INTERCULTURAL;0;2;1;2;4;3;Null
22;;IV;TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;0;2;1;2;4;3;Null
23;;IV;TEORÍA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null
24;;IV;ESTRATEGIAS PARA EL DESARROLLO DE LA CREATIVIDAD INFANTIL;0;2;2;4;6;4;Null
25;;IV;ATENCIÓN DE NECESIDADES BÁSICA Y DE CUIDADO DEL MENOR;0;2;2;4;6;4;Null
26;;V;NEUROMOTRICIDAD LÚDICA;0;3;1;2;5;4;Null
27;;V;MEDIOS Y MATERIALES EDUCATIVOS;0;3;1;2;5;4;Null
28;;V;ESTRATEGIAS PARA LA COMUNICACIÓN EN EL NIÑO;0;3;1;2;5;4;Null
29;;V;CIENCIA Y TECNOLOGÍA PARA NIÑOS;0;2;1;2;4;3;Null
30;;V;APRENDIZAJE TEMPRANO EN EL MENOR DE 36 MESES;0;3;1;2;5;4;Null
31;;V;PRÁCTICA DE OBSERVACIÓN Y AYUDANTÍA;0;2;2;4;6;4;Null
32;;VI;EDUCACIÓN MUSICAL INFANTIL;0;3;1;2;5;4;Null
33;;VI;DIDÁCTICA DE LA LITERATURA INFANTIL;0;2;1;2;4;3;Null
34;;VI;EVALUACIÓN DE LOS APRENDIZAJES;0;2;1;2;4;3;Null
35;;VI;ESTRATEGIAS PARA LA MATEMÁTICA EN EDUCACIÓN INFANTIL;0;3;1;2;5;4;Null
36;;VI;ORIENTACIÓN A FAMILIAS CON NIÑOS MENORES DE 36 MESES;0;3;1;2;5;4;Null
37;;VI;PRÁCTICA DE PLANIFICACIÓN DE ACTIVIDADES SIMULADAS I Y II CICLO;0;3;2;4;7;5;Null
38;;VII;PLANIFICACIÓN DE LA GESTIÓN EDUCATIVA;0;3;1;2;5;4;Null
39;;VII;ESTRATEGIAS CON SOFTWARE INFANTIL;0;2;1;2;4;3;Null
40;;VII;DESARROLLO PERSONAL Y SOCIAL DEL NIÑO;0;3;1;2;5;4;Null
41;;VII;IDIOMA QUECHUA /IDIOMA AIMARA /IDIOMA INGLÉS;0;2;1;2;4;3;Null
42;;VII;METODOLOGÍA DE LA INVESTIGACIÓN EDUCATIVA;0;3;1;2;5;4;Null
43;;VII;PRÁCTICA DE ACTIVIDADES ESPECÍFICAS;0;3;2;4;7;5;Null
44;;VIII;LEGISLACIÓN EDUCATIVA;0;2;1;2;4;3;Null
45;;VIII;EDUCACIÓN INCLUSIVA Y DETECCIÓN DE NECESIDADES EDUCATIVAS ESPECIALES;0;2;1;2;4;3;Null
46;;VIII;ESTRATEGIAS DE CAPACITACIÓN;0;3;1;2;5;4;Null
47;;VIII;GESTIÓN Y ADMINISTRACIÓN DE INSTITUCIONES EDUCATIVAS;0;3;1;2;5;4;Null
48;;VIII;FORMULACIÓN DE TRABAJOS DE INVESTIGACIÓN;0;3;1;2;5;4;Null
49;;VIII;PRACTICA EN I CICLO Y EN ZONAS RURALES EN II CICLO;0;3;2;4;7;5;Null
50;;IX;ESTRATEGIAS ESPECÍFICAS DE INTERVENCIÓN PARA NIÑOS CON NECESIDADES ESPECIALES;0;3;1;2;5;4;Null
51;;IX;ESTRATEGIAS DE TRABAJO CON PADRES DE FAMILIA Y COMUNIDAD;0;3;1;2;5;4;Null
52;;IX;COMPORTAMIENTO ORGANIZACIONAL Y CONVIVENCIA ESCOLAR;0;2;1;2;4;3;Null
53;;IX;TÉCNICAS DE RECOLECCIÓN DE DATOS EN INVESTIGACIÓN;0;4;1;2;6;5;Null
54;;IX;PRACTICA INTENSIVA Y SEMINARIO DE ACTUALIZACIÓN;0;2;4;8;10;6;Null
55;;X;SALUD Y PREVENCIÓN DE EMERGENCIAS EN LA INFANCIA;0;3;1;2;5;4;Null
56;;X;POLÍTICAS PÚBLICAS Y PROGRAMAS DE ATENCIÓN A LA PRIMERA INFANCIA;0;2;1;2;4;3;Null
57;;X;DISEÑO DE PROYECTOS EDUCATIVOS;0;3;1;2;5;4;Null
58;;X;REDACCIÓN DEL INFORME DE INVESTIGACIÓN;0;4;1;2;6;5;Null
59;;X;PRACTICA INTENSIVA Y DE PROYECTOS EDUCATIVOS;0;2;4;8;10;6;Null
