N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null
6;;I;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null
7;;I;TUTORÍA Y EDUCACIÓN EN VALORES EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;Null
8;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null
9;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null
10;;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;1;2;4;3;Null
11;;II;TALLER DE ARTE Y CREATIVIDAD;0;2;1;2;4;3;Null
12;;II;DELIBERACIÓN Y PARTICIPACIÓN;0;3;1;2;5;4;Null
13;;II;TIC EN EDUCACIÓN;0;3;1;2;5;4;Null
14;;II;DESARROLLO DE LA PSICOMOTRICIDAD EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;Null
15;;III;TEORÍA DE LA EDUCACIÓN;0;2;1;2;4;3;Null
16;;III;CIENCIAS SOCIALES EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;Null
17;;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null
18;;III;COMUNICACIÓN EN EDUCACIÓN PRIMARIA;0;3;1;2;5;4;Null
19;;III;PROGRAMAS Y RECURSOS TECNOLÓGICOS EN EDUCACIÓN;0;2;1;2;4;3;Null
20;;III;MATEMÁTICA EN EDUCACIÓN PRIMARIA;0;3;1;2;5;4;Null
21;;III;CIENCIAS NATURALES EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;Null
22;;IV;PSICOLOGÍA DEL DESARROLLO;0;2;1;2;4;3;Null
23;;IV;DIDÁCTICA DE LA FORMACIÓN CIUDADANA;0;2;1;2;4;3;Null
24;;IV;TEORÍA Y DISEÑO CURRICULAR;0;2;1;2;4;3;Null
25;;IV;DESARROLLO DE HABILIDADES BÁSICAS PARA LA LECTURA Y ESCRITURA;0;3;1;2;5;4;Null
26;;IV;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;1;2;4;3;Null
27;;IV;DIDÁCTICA DE LOS NÚMEROS, OPERACIONES Y RELACIONES;0;3;1;2;5;4;Null
28;;IV;DIDÁCTICA DE LA INDAGACIÓN CIENTÍFICA;0;2;1;2;4;3;Null
29;;V;PSICOLOGÍA DEL APRENDIZAJE;0;2;1;2;4;3;Null
30;;V;DIDÁCTICA DE LA HISTORIA Y GEOGRAFÍA;0;2;1;2;4;3;Null
31;;V;PROGRAMACIÓN CURRICULAR;0;2;1;2;4;3;Null
32;;V;DIDÁCTICA DE LA EXPRESIÓN Y COMPRENSIÓN ORAL;0;3;1;2;5;4;Null
33;;V;PRÁCTICA DE OBSERVACIÓN Y PLANEAMIENTO PEDAGÓGICO;0;3;1;2;5;4;Null
34;;V;DIDÁCTICA DE LA GEOMETRÍA;0;2;1;2;4;3;Null
35;;V;DIDÁCTICA DE LA CIENCIA Y TECNOLOGÍA;0;2;1;2;4;3;Null
36;;VI;FILOSOFÍA DE LA EDUCACIÓN;0;2;1;2;4;3;Null
37;;VI;EVALUACIÓN DEL APRENDIZAJE;0;3;1;2;5;4;Null
38;;VI;DIDÁCTICA DE LA COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS;0;4;1;2;6;5;Null
39;;VI;PRÁCTICA DE PROYECTOS INTERDISCIPLINARIOS;0;2;2;4;6;4;Null
40;;VI;DIDÁCTICA DE LA ESTADÍSTICA Y PROBABILIDADES;0;2;1;2;4;3;Null
41;;VI;ENFOQUES Y MODELOS DE INVESTIGACIÓN EN EDUCACIÓN;0;3;1;2;5;4;Null
42;;VII;ADMINISTRACIÓN EDUCATIVA;0;3;1;2;5;4;Null
43;;VII;REALIDAD NACIONAL E INTERCULTURALIDAD;0;4;1;2;6;5;Null
44;;VII;HABILIDADES DEPORTIVAS COLECTIVAS;0;2;1;2;4;3;Null
45;;VII;PRÁCTICA DE INNOVACIÓN PEDAGÓGICA Y AYUDANTÍA;0;1;2;4;5;3;Null
46;;VII;TALLER DE IDIOMA NATIVO QUECHUA/TALLER DE IDIOMA NATIVO AIMARA;0;3;1;2;5;4;Null
